ID,Made Donation in March 2007
659,0.17423076707200919
276,0.24639756942227167
263,0.2382819130046294
303,0.2275144610549722
83,0.20374555378305223
500,0.26866975389534586
530,0.26007367843147594
244,0.24121166187934864
249,0.17480968293728377
728,0.27263595313223815
129,0.24714450736716131
534,0.23177982114689052
317,0.26007367843147594
401,0.26395878069855205
696,0.22964019009890668
192,0.228221491583663
176,0.26007367843147594
571,0.2710450881248882
139,0.2710450881248882
423,0.24490825746537784
563,0.25930112352490986
56,0.25930112352490986
528,0.2339333340169041
101,0.25930112352490986
467,0.25241553640262004
382,0.2233047783892129
466,0.24565215233502152
294,0.24565215233502152
512,0.21709489487955
659,0.24864294023908515
389,0.23177982114689052
487,0.2577604947679116
701,0.25241553640262004
419,0.22680897720223928
536,0.26007367843147594
240,0.26007367843147594
508,0.26007367843147594
515,0.20967585292051336
283,0.24639756942227167
650,0.24194792631122627
65,0.273433571109378
228,0.273433571109378
741,0.273433571109378
297,0.23321395530880548
464,0.23321395530880548
63,0.2546972131196833
231,0.26007367843147594
28,0.21034254245734307
248,0.24864294023908515
357,0.24939443229502922
300,0.2546972131196833
726,0.2434250396684658
680,0.25853006167588327
520,0.20967585292051336
254,0.2624002821889796
582,0.273433571109378
143,0.25014743946626744
98,0.23177982114689052
1,0.2608477244806075
221,0.2608477244806075
352,0.21034254245734307
64,0.2718397913285245
138,0.2718397913285245
745,0.2718397913285245
64,0.2608477244806075
688,0.2718397913285245
623,0.2718397913285245
289,0.2608477244806075
174,0.2608477244806075
690,0.2608477244806075
105,0.25014743946626744
427,0.25014743946626744
48,0.27025184591558654
14,0.27025184591558654
657,0.24416588614322812
301,0.27025184591558654
455,0.27025184591558654
579,0.27025184591558654
722,0.24268571931107663
98,0.20115023278577762
491,0.2390120516517845
303,0.24268571931107663
466,0.237553308534782
65,0.25241553640262004
300,0.20967585292051336
9,0.2275144610549722
622,0.2631787898603837
323,0.22122085388903542
289,0.23321395530880548
568,0.2531745886127211
290,0.2382819130046294
156,0.20768510675280652
464,0.20570834192067006
426,0.23610070623368423
306,0.22122085388903542
4,0.22893006815275962
12,0.21034254245734307
187,0.26162325972580547
406,0.25090196024118216
96,0.2404769271962343
509,0.24714450736716131
733,0.2531745886127211
548,0.24639756942227167
478,0.2339333340169041
501,0.23249611740802828
127,0.2670935337758996
199,0.24939443229502922
299,0.2670935337758996
162,0.20439826389664503
235,0.25930112352490986
23,0.24416588614322812
473,0.25241553640262004
487,0.2663076313218874
683,0.21505287641987125
303,0.26007367843147594
309,0.26007367843147594
569,0.2663076313218874
34,0.26007367843147594
686,0.2663076313218874
84,0.2663076313218874
733,0.2663076313218874
537,0.2275144610549722
181,0.2742326428008505
453,0.2742326428008505
67,0.2742326428008505
161,0.2742326428008505
307,0.2742326428008505
703,0.2742326428008505
181,0.2742326428008505
246,0.2742326428008505
316,0.2742326428008505
278,0.2742326428008505
346,0.2742326428008505
545,0.2742326428008505
419,0.2742326428008505
694,0.2742326428008505
622,0.2742326428008505
663,0.2742326428008505
262,0.2742326428008505
461,0.2742326428008505
373,0.2742326428008505
233,0.23537671038313707
466,0.25393514807349904
207,0.2390120516517845
263,0.2569924246531202
16,0.25165799307758147
513,0.2546972131196833
449,0.24639756942227167
429,0.2024447900121237
701,0.24194792631122627
632,0.24490825746537784
529,0.24416588614322812
245,0.23035185673084274
344,0.23035185673084274
353,0.26395878069855205
241,0.23682623927618368
633,0.23610070623368423
624,0.23465425267149453
726,0.23035185673084274
189,0.2310650673292977
138,0.22610504063331763
402,0.2631787898603837
511,0.2339333340169041
590,0.2624002821889796
334,0.21505287641987125
447,0.24416588614322812
119,0.25622585315231305
389,0.2710450881248882
644,0.2710450881248882
423,0.2710450881248882
131,0.2710450881248882
405,0.2710450881248882
82,0.2710450881248882
643,0.2710450881248882
156,0.2710450881248882
617,0.2710450881248882
574,0.2710450881248882
272,0.25393514807349904
613,0.2710450881248882
545,0.2710450881248882
685,0.2710450881248882
570,0.23465425267149453
537,0.24194792631122627
691,0.21777867385443478
85,0.2624002821889796
483,0.2404769271962343
455,0.2219139447559989
93,0.22680897720223928
744,0.1854903742549598
33,0.2531745886127211
321,0.2005052807648214
523,0.2608477244806075
426,0.23610070623368423
196,0.20179673574742968
301,0.25930112352490986
103,0.25930112352490986
224,0.21641266884965799
454,0.23249611740802828
585,0.2546972131196833
154,0.2157319959700027
